Date,Time,Date Time,Direction,Intersection,Bike Traffic,
6/11/2016,11:00 AM,6/11/2016 11:00 AM,Southbound,6,92,
6/11/2016,12:00 PM,6/11/2016 12:00 PM,Southbound,6,116,
6/11/2016,01:00 PM,6/11/2016 01:00 PM,Southbound,6,36,
6/11/2016,02:00 PM,6/11/2016 02:00 PM,Southbound,6,42,
6/11/2016,03:00 PM,6/11/2016 03:00 PM,Southbound,6,46,
6/11/2016,04:00 PM,6/11/2016 04:00 PM,Southbound,6,47,
6/11/2016,05:00 PM,6/11/2016 05:00 PM,Southbound,6,41,
6/11/2016,06:00 PM,6/11/2016 06:00 PM,Southbound,6,46,
6/11/2016,07:00 PM,6/11/2016 07:00 PM,Southbound,6,29,
6/11/2016,08:00 PM,6/11/2016 08:00 PM,Southbound,6,34,
6/11/2016,09:00 PM,6/11/2016 09:00 PM,Southbound,6,26,
6/11/2016,10:00 PM,6/11/2016 10:00 PM,Southbound,6,18,
6/11/2016,11:00 PM,6/11/2016 11:00 PM,Southbound,6,8,
9/27/2016,12:00 AM,9/27/2016 12:00 AM,Southbound,6,6,
9/27/2016,01:00 AM,9/27/2016 01:00 AM,Southbound,6,1,
9/27/2016,02:00 AM,9/27/2016 02:00 AM,Southbound,6,1,
9/27/2016,03:00 AM,9/27/2016 03:00 AM,Southbound,6,1,
9/27/2016,04:00 AM,9/27/2016 04:00 AM,Southbound,6,1,
9/27/2016,05:00 AM,9/27/2016 05:00 AM,Southbound,6,7,
9/27/2016,06:00 AM,9/27/2016 06:00 AM,Southbound,6,18,
9/27/2016,07:00 AM,9/27/2016 07:00 AM,Southbound,6,41,
9/27/2016,08:00 AM,9/27/2016 08:00 AM,Southbound,6,81,
9/27/2016,09:00 AM,9/27/2016 09:00 AM,Southbound,6,91,
9/27/2016,10:00 AM,9/27/2016 10:00 AM,Southbound,6,70,
9/27/2016,11:00 AM,9/27/2016 11:00 AM,Southbound,6,63,
9/27/2016,12:00 PM,9/27/2016 12:00 PM,Southbound,6,43,
9/27/2016,01:00 PM,9/27/2016 01:00 PM,Southbound,6,51,
9/27/2016,02:00 PM,9/27/2016 02:00 PM,Southbound,6,69,
